id,from_time,to_time,from_lat,from_lon,to_lat,to_lon,from_alt,to_alt,from_speed,to_speed
ab80f4DAL99   ,1717848059.0,1717848119.0,49.48992919921875,-3.642835115131618,49.5161722474179,-3.821163692989842,10622.28,10622.28,0.2200623946822323,0.22806546796162522
ab80f4DAL99   ,1717848119.0,1717851599.0,49.5161722474179,-3.821163692989842,51.84745788574219,-14.123073268581097,10622.28,10942.32,0.22806546796162522,0.0
48c1a6RYR3BR  ,1717849619.0,1717849679.0,36.40141296386719,28.0718994140625,36.38662564552436,28.01285764004322,274.32,762.0,0.09224240707392824,0.11420765676673388
48c1a6RYR3BR  ,1717849679.0,1717850279.0,36.38662564552436,28.01285764004322,36.55412292480469,26.85819625854492,762.0,8854.44,0.11420765676673388,0.21596550307370907
48c1a6RYR3BR  ,1717850279.0,1717850459.0,36.55412292480469,26.85819625854492,36.805572509765625,26.553325653076172,8854.44,10462.26,0.21596550307370907,0.21585546105197773
48c1a6RYR3BR  ,1717850459.0,1717851599.0,36.805572509765625,26.553325653076172,38.70021057128906,25.33065132472826,10462.26,12039.600000000002,0.21585546105197773,0.0
39e68cAFR21TJ ,1717849019.0,1717849079.0,38.66725158691406,-9.196989639945627,38.6605224609375,-9.275267227836252,1813.56,2537.46,0.11395691557458432,0.12762824077751309
39e68cAFR21TJ ,1717849079.0,1717849199.0,38.6605224609375,-9.275267227836252,38.80007986295021,-9.21630859375,2537.46,4053.84,0.12762824077751309,0.1855379723481628
39e68cAFR21TJ ,1717849199.0,1717850339.0,38.80007986295021,-9.21630859375,40.38084411621094,-7.13006591796875,4053.84,11224.26,0.1855379723481628,0.24067321697785668
39e68cAFR21TJ ,1717850339.0,1717851599.0,40.38084411621094,-7.13006591796875,42.61345297603284,-5.037614689316854,11224.26,11338.56,0.24067321697785668,0.0
4bc848PGT1073 ,1717848059.0,1717848119.0,51.27447509765625,17.87742820945946,51.35703393968485,17.766342163085938,11155.68,11155.68,0.19991688387024137,0.20163367290317089
4bc848PGT1073 ,1717848119.0,1717850399.0,51.35703393968485,17.766342163085938,54.47900390625,13.199184642118563,11155.68,8694.42,0.20163367290317089,0.18760901989685774
4bc848PGT1073 ,1717850399.0,1717850939.0,54.47900390625,13.199184642118563,55.28526306152344,12.676445456112132,8694.42,3238.5,0.18760901989685774,0.17511771583087732
4bc848PGT1073 ,1717850939.0,1717851179.0,55.28526306152344,12.676445456112132,55.61924743652344,12.879555442116477,3238.5,1737.36,0.17511771583087732,0.15166136173685307
4bc848PGT1073 ,1717851179.0,1717851299.0,55.61924743652344,12.879555442116477,55.7493896484375,13.030034845525568,1737.36,1181.1,0.15166136173685307,0.0912524754102214
4bc848PGT1073 ,1717851299.0,1717851419.0,55.7493896484375,13.030034845525568,55.75542902542372,12.871599197387695,1181.1,960.12,0.0912524754102214,0.07591977155516963
4bc848PGT1073 ,1717851419.0,1717851599.0,55.75542902542372,12.871599197387695,55.666700460143005,12.731695175170898,960.12,381.0,0.07591977155516963,0.0
4d253bEWG1AY  ,1717850579.0,1717850639.0,51.27873229980469,6.750207849451013,51.25177932997881,6.6928863525390625,365.7600000000001,868.6800000000001,0.08314669637756882,0.0964921943776595
4d253bEWG1AY  ,1717850639.0,1717850819.0,51.25177932997881,6.6928863525390625,51.29969787597656,6.44080909522804,868.6800000000001,10447.02,0.0964921943776595,0.15663701289622992
4d253bEWG1AY  ,1717850819.0,1717851239.0,51.29969787597656,6.44080909522804,50.74726867675781,5.907007165857263,10447.02,7917.18,0.15663701289622992,0.21804046537648308
4d253bEWG1AY  ,1717851239.0,1717851599.0,50.74726867675781,5.907007165857263,50.04826432567531,6.2364485457136825,7917.18,10454.64,0.21804046537648308,0.0
4caca2FPO756  ,1717848059.0,1717848119.0,39.50492729574947,4.14715576171875,39.58772277832031,4.1630421514096465,6423.66,6423.66,0.15511103449838845,0.15119666273187435
4caca2FPO756  ,1717848119.0,1717849439.0,39.58772277832031,4.1630421514096465,41.417339777542374,4.595478856286338,6423.66,6096.000000000001,0.15119666273187435,0.16721922483389304
4caca2FPO756  ,1717849439.0,1717850039.0,41.417339777542374,4.595478856286338,42.293220132084215,4.859022983284884,6096.000000000001,4610.1,0.16721922483389304,0.1563443070456788
4caca2FPO756  ,1717850039.0,1717851059.0,42.293220132084215,4.859022983284884,43.59562683105469,4.860364337300146,4610.1,1630.68,0.1563443070456788,0.10301808488230967
4caca2FPO756  ,1717851059.0,1717851179.0,43.59562683105469,4.860364337300146,43.6036376953125,4.975273664607559,1630.68,1318.26,0.10301808488230967,0.05906280801519993
4caca2FPO756  ,1717851179.0,1717851479.0,43.6036376953125,4.975273664607559,43.48984540519068,5.138528006417411,1318.26,449.58,0.05906280801519993,0.0
345613VOE9SU  ,1717850399.0,1717850459.0,47.12333679199219,-1.5297088623046875,47.06195068359375,-1.4813690185546875,1303.02,1805.94,0.1290818563431252,0.1455245362857577
345613VOE9SU  ,1717850459.0,1717850639.0,47.06195068359375,-1.4813690185546875,46.885711669921875,-1.2056808471679688,1805.94,4130.04,0.1455245362857577,0.19279742302718014
345613VOE9SU  ,1717850639.0,1717851599.0,46.885711669921875,-1.2056808471679688,46.09959411621094,1.452405976086128,4130.04,11277.6,0.19279742302718014,0.0
39dd42CCM71EU ,1717848059.0,1717848119.0,46.603271484375,3.192868116425305,46.4865526102357,3.256072998046875,10957.56,11049.0,0.23082477142457153,0.23623229074610758
