id,time,from_lat,from_lon,to_lat,to_lon
4bb84cPGT1456 ,1717632299.0,53.43912932832362,22.35338098862592,53.64491271972656,22.63160051618304
4bb84cPGT1456 ,1717632419.0,53.64491271972656,22.63160051618304,55.980043572894594,26.169090270996094
4bb84cPGT1456 ,1717633859.0,55.980043572894594,26.169090270996094,54.71525573730469,25.372942639635752
4bb84cPGT1456 ,1717633349.0,54.71525573730469,25.372942639635752,56.026130288334215,26.382293701171875
4bb84cPGT1456 ,1717633919.0,56.026130288334215,26.382293701171875,54.682823181152344,25.080091303045098
4bb84cPGT1456 ,1717633259.0,54.682823181152344,25.080091303045098,56.108807062698624,26.815824508666992
4bb84cPGT1456 ,1717634039.0,56.108807062698624,26.815824508666992,56.32490255064883,28.584623336791992
4bb84cPGT1456 ,1717634519.0,56.32490255064883,28.584623336791992,56.227569580078125,29.60698908025568
461fa4FIN1676 ,1717635299.0,45.44406179654396,-0.6408914705601774,41.07184458587129,-2.6382884149965946
461fa4FIN1676 ,1717633229.0,41.07184458587129,-2.6382884149965946,43.18524169921875,-1.857519815134424
461fa4FIN1676 ,1717634219.0,43.18524169921875,-1.857519815134424,40.888022018691245,-2.752652849469868
461fa4FIN1676 ,1717633139.0,40.888022018691245,-2.752652849469868,41.01675777112024,-2.6911097935267776
461fa4FIN1676 ,1717633199.0,41.01675777112024,-2.6911097935267776,43.31113136420816,-1.7909022739955276
461fa4FIN1676 ,1717634279.0,43.31113136420816,-1.7909022739955276,44.94841003417969,-0.9163120814732224
3474ceSWT5745 ,1717632059.0,47.774978896318856,2.746159480168269,47.718643317788334,2.769682370699369
3474ceSWT5745 ,1717632089.0,47.718643317788334,2.769682370699369,43.50683697199417,5.11505126953125
3474ceSWT5745 ,1717634699.0,43.50683697199417,5.11505126953125,43.477569580078125,5.156803574672965
ae1167BOXER41 ,1717632119.0,49.69464111328125,-3.9096872430098975,49.530783443127646,-1.7523193359375147
ae1167BOXER41 ,1717632719.0,49.530783443127646,-1.7523193359375147,48.93374633789063,2.308326134314904
ae1167BOXER41 ,1717634279.0,48.93374633789063,2.308326134314904,48.94837460275424,2.362783331620065
407eebEXS7AW  ,1717633859.0,51.33464231329449,2.945709228515625,50.791307869604076,4.8988868094779345
407eebEXS7AW  ,1717633109.0,50.791307869604076,4.8988868094779345,52.04181735798464,-0.1303449358258603
710023HZSKY2  ,1717633799.0,30.104075286347985,31.37794189453125,30.176101684570312,31.299294864430145
710023HZSKY2  ,1717633859.0,30.176101684570312,31.299294864430145,30.65526309255826,30.69901212804458
710023HZSKY2  ,1717634249.0,30.65526309255826,30.69901212804458,31.200269925392277,30.14824541877298
710023HZSKY2  ,1717634609.0,31.200269925392277,30.14824541877298,32.08356954283634,29.38640983737245
0a001aDAH3021 ,1717633559.0,40.111596058991,22.40299571644176,40.407371520996094,23.84185791015625
0a001aDAH3021 ,1717632959.0,40.407371520996094,23.84185791015625,39.26856994628906,18.86818263841712
4d235bVJT202  ,1717634759.0,43.62852452164989,27.809797014508927,43.62852452164989,27.809797014508927
040233ETH720  ,1717632239.0,31.753097534179688,31.09836353975184,31.80132332494703,31.093270438058035
040233ETH720  ,1717632299.0,31.80132332494703,31.093270438058035,33.81825256347656,35.49077248086735
040233ETH720  ,1717633199.0,33.81825256347656,35.49077248086735,33.18110837774761,30.990179606846404
040233ETH720  ,1717633319.0,33.18110837774761,30.990179606846404,34.76023438017247,30.875798505749124
040233ETH720  ,1717633649.0,34.76023438017247,30.875798505749124,36.58392333984375,30.805892944335938
4bb84aPGT10HH ,1717634039.0,52.201995849609375,10.07659912109375,51.615875244140625,11.51618751319679
4bb84aPGT10HH ,1717634519.0,51.615875244140625,11.51618751319679,50.94497680664063,13.123911264780403
407fd2DHK523  ,1717632119.0,52.09200067035222,4.37420654296875,52.455736580541576,1.667724609375
407fd2DHK523  ,1717633349.0,52.455736580541576,1.667724609375,52.83380126953125,-1.1690521240234375
407fd2DHK523  ,1717634699.0,52.83380126953125,-1.1690521240234375,52.83287953522245,-1.225446428571388
49d423TVS2532 ,1717632239.0,38.83172607421875,25.407316788383152,38.730856685315146,25.51031494140625
49d423TVS2532 ,1717632299.0,38.730856685315146,25.51031494140625,36.90297414488711,27.522112804910414
49d423TVS2532 ,1717633439.0,36.90297414488711,27.522112804910414,36.11313124834481,28.38539935172873
49d423TVS2532 ,1717633919.0,36.11313124834481,28.38539935172873,37.04969787597656,27.404553498857933
49d423TVS2532 ,1717633349.0,37.04969787597656,27.404553498857933,34.85873464810646,29.785194396972656
49d423TVS2532 ,1717634699.0,34.85873464810646,29.785194396972656,34.773218187235166,29.84355926513672
39b228THY6403 ,1717634759.0,41.444366455078125,28.68655118075284,41.683618577860166,28.425335551417152
39b228THY6403 ,1717634999.0,41.683618577860166,28.425335551417152,41.65053623005495,28.30010485497892
39b228THY6403 ,1717634999.0,41.65053623005495,28.30010485497892,41.71627807617188,28.325001109730117
4bb573CAI69DW ,1717632239.0,52.038482666015625,8.3050537109375,52.08492473020392,8.227975027901786
4bb573CAI69DW ,1717632299.0,52.08492473020392,8.227975027901786,51.9884147644043,8.359091740317327
4bb573CAI69DW ,1717632209.0,51.9884147644043,8.359091740317327,52.20204162597656,8.019866943359375
4bb573CAI69DW ,1717632479.0,52.20204162597656,8.019866943359375,52.14679265426377,7.742065429687501
452153SEU7131 ,1717632239.0,54.30914410090042,23.861638849431817,54.27804720603813,23.680626364315252
452153SEU7131 ,1717632299.0,54.27804720603813,23.680626364315252,53.61560886189088,22.78499827665441
